Participant Number,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
546,5.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,3.0,3.0,3,3.0,3.0,5.0,3.0,former smoker,social drinker,3.0,3.0,1.0,2.0,1.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4,5.0,5.0,1.0,4.0,5.0,4.0,5.0,1.0,3,3.0,1,i am often early,sometimes,3.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,5.0,1.0,5.0,1.0,most of the day,3.0,1.0,1.0,2.0,1.0,1,3.0,20.0,176.0,70.0,3.0,male,right handed,secondary school,no,village,block of flats
547,5.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2,1.0,2.0,5.0,1.0,tried smoking,social drinker,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,2.0,1.0,4.0,5.0,4.0,5.0,3.0,4.0,4,2.0,4.0,5.0,3.0,4.0,4.0,1.0,4.0,3,4.0,4,i am always on time,sometimes,4.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,1.0,5.0,4.0,3.0,few hours a day,4.0,4.0,2.0,4.0,2.0,3,5.0,27.0,178.0,77.0,3.0,male,right handed,masters degree,no,village,house/bungalow
548,5.0,4.0,1.0,4.0,2.0,5.0,3.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0,5.0,4.0,5.0,5.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,1.0,1,1.0,1.0,4.0,1.0,current smoker,social drinker,2.0,5.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,4.0,1,1.0,5.0,5.0,1.0,5.0,2.0,2.0,1.0,3,2.0,3,i am often early,sometimes,5.0,5.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,few hours a day,3.0,2.0,1.0,3.0,1.0,1,4.0,21.0,203.0,80.0,2.0,male,left handed,secondary school,no,village,house/bungalow
549,4.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,1.0,5,2.0,1.0,3.0,3.0,never smoked,social drinker,3.0,3.0,4.0,2.0,3.0,5.0,3.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,4.0,5.0,1,3.0,3.0,5.0,1.0,2.0,3.0,1.0,5.0,3,1.0,3,i am often early,only to avoid hurting someone,2.0,3.0,4.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,,2.0,4.0,4.0,less than an hour a day,4.0,3.0,3.0,1.0,3.0,1,3.0,20.0,170.0,52.0,1.0,female,right handed,secondary school,no,city,
550,5.0,4.0,5.0,1.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,5.0,2.0,2.0,5,5.0,5.0,1.0,1.0,current smoker,social drinker,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,5.0,3.0,2.0,2.0,2.0,5.0,3.0,5.0,1.0,5.0,1,5.0,5.0,5.0,3.0,2.0,4.0,1.0,3.0,4,2.0,3,i am often running late,only to avoid hurting someone,2.0,2.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,3.0,3.0,less than an hour a day,3.0,4.0,1.0,4.0,4.0,1,5.0,,166.0,51.0,1.0,female,left handed,college/bachelor degree,no,village,house/bungalow
551,5.0,3.0,2.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,2.0,1.0,2.0,5.0,1.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,5.0,2.0,5.0,2.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,5.0,1.0,1.0,4.0,3.0,5.0,4,4.0,1.0,4.0,4.0,tried smoking,social drinker,4.0,5.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,3,2.0,5.0,3.0,5.0,4.0,2.0,5.0,5.0,4,2.0,3,i am always on time,only to avoid hurting someone,3.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,few hours a day,1.0,5.0,5.0,4.0,4.0,2,4.0,17.0,163.0,49.0,3.0,female,left handed,primary school,yes,village,house/bungalow
552,5.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,5.0,1.0,5.0,3.0,3.0,4.0,3.0,2.0,1.0,5.0,1.0,1.0,4.0,3.0,5.0,4.0,5.0,4,3.0,2.0,5.0,4.0,tried smoking,never,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,1,5.0,5.0,3.0,2.0,5.0,4.0,4.0,5.0,4,2.0,4,i am often running late,sometimes,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,2.0,less than an hour a day,2.0,3.0,2.0,3.0,3.0,2,5.0,16.0,,,,female,right handed,secondary school,no,village,block of flats
553,5.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0,2.0,2.0,5.0,2.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,1.0,2.0,4.0,5.0,5.0,3.0,1.0,5.0,2.0,2.0,4.0,1.0,5.0,2.0,5.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,2.0,1.0,2.0,5.0,5,5.0,3.0,3.0,1.0,former smoker,social drinker,2.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,3,5.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,3,3.0,4,i am always on time,sometimes,3.0,4.0,5.0,3.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,1.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,2.0,2.0,few hours a day,3.0,3.0,3.0,5.0,4.0,2,3.0,19.0,,50.0,3.0,female,right handed,secondary school,no,city,house/bungalow
554,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,5.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,3.0,1.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0,1.0,1.0,5.0,2.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0,3.0,5.0,4,4.0,5.0,4.0,3.0,never smoked,social drinker,2.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,1.0,5.0,4.0,3.0,5.0,2,2.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4,2.0,3,i am often early,sometimes,1.0,4.0,4.0,5.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,few hours a day,2.0,5.0,3.0,2.0,4.0,2,2.0,18.0,170.0,53.0,1.0,female,right handed,secondary school,yes,village,house/bungalow
555,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3,2.0,2.0,3.0,3.0,tried smoking,social drinker,4.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,2,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,4,3.0,2,i am always on time,sometimes,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,few hours a day,3.0,4.0,4.0,2.0,3.0,2,3.0,19.0,178.0,65.0,0.0,male,right handed,college/bachelor degree,yes,village,house/bungalow
556,5.0,5.0,5.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,5.0,5.0,1.0,2.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,1.0,1.0,5.0,2.0,3.0,1.0,4.0,4.0,5.0,1.0,5,1.0,3.0,5.0,5.0,former smoker,social drinker,3.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,1.0,5.0,5.0,1.0,3.0,1,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,4,3.0,2,i am often early,sometimes,1.0,2.0,3.0,2.0,3.0,4.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,1.0,4.0,5.0,1.0,2.0,2.0,5.0,few hours a day,1.0,5.0,1.0,3.0,5.0,2,5.0,21.0,167.0,63.0,1.0,female,right handed,college/bachelor degree,yes,village,house/bungalow
557,5.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,,1.0,1.0,2.0,1.0,5.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,5,5.0,4.0,5.0,4.0,tried smoking,social drinker,3.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,3.0,4.0,1.0,5.0,2,5.0,4.0,5.0,2.0,5.0,5.0,5.0,3.0,3,1.0,4,i am always on time,sometimes,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,5.0,4.0,4.0,4.0,few hours a day,3.0,5.0,4.0,2.0,4.0,2,5.0,16.0,168.0,50.0,0.0,female,right handed,secondary school,yes,city,block of flats
558,5.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,1.0,3.0,4.0,5.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,5,4.0,5.0,4.0,5.0,tried smoking,social drinker,3.0,1.0,4.0,5.0,3.0,3.0,1.0,3.0,4.0,2.0,5.0,4.0,1.0,2.0,3.0,3.0,4.0,5.0,1.0,5.0,1,4.0,5.0,4.0,3.0,2.0,5.0,4.0,3.0,3,4.0,5,i am often early,sometimes,2.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,1.0,4.0,5.0,4.0,3.0,4.0,2.0,few hours a day,4.0,3.0,4.0,3.0,3.0,3,3.0,20.0,170.0,55.0,2.0,female,right handed,college/bachelor degree,no,city,block of flats
559,,2.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,3.0,1.0,2.0,5.0,4.0,2.0,2.0,5.0,5.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,3.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,5.0,5.0,1.0,4.0,2.0,2.0,2.0,3.0,5.0,5,5.0,2.0,3.0,2.0,never smoked,social drinker,3.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,1.0,5.0,3.0,2.0,1.0,5.0,2.0,3.0,4.0,2.0,5.0,3,4.0,5.0,5.0,2.0,2.0,2.0,1.0,5.0,3,3.0,4,i am often running late,sometimes,3.0,3.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,1.0,few hours a day,2.0,4.0,2.0,2.0,2.0,2,2.0,19.0,,,2.0,female,right handed,primary school,no,city,block of flats
560,5.0,3.0,5.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,5.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,5,3.0,5.0,4.0,3.0,current smoker,social drinker,2.0,3.0,2.0,5.0,2.0,2.0,4.0,4.0,3.0,1.0,5.0,3.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3,2.0,5,i am often running late,only to avoid hurting someone,3.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,1.0,3.0,5.0,4.0,3.0,3.0,3.0,most of the day,3.0,3.0,2.0,4.0,3.0,2,2.0,20.0,173.0,55.0,1.0,female,right handed,secondary school,yes,village,house/bungalow
561,5.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,2.0,3.0,1.0,2.0,5.0,,5.0,5.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,2.0,2.0,3.0,,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5,5.0,5.0,5.0,4.0,never smoked,social drinker,2.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,5.0,5.0,3.0,3.0,1.0,5.0,2.0,5.0,3.0,5,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3,2.0,5,i am often running late,everytime it suits me,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,4.0,4.0,5.0,less than an hour a day,4.0,1.0,1.0,1.0,1.0,1,1.0,16.0,,57.0,2.0,female,right handed,currently a primary school pupil,yes,village,house/bungalow
562,5.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,2.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1,1.0,3.0,2.0,3.0,tried smoking,never,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,3,3.0,5.0,5.0,3.0,2.0,4.0,2.0,5.0,4,4.0,3,i am often early,only to avoid hurting someone,3.0,2.0,4.0,3.0,5.0,3.0,1.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,2.0,less than an hour a day,5.0,1.0,3.0,1.0,1.0,3,4.0,20.0,185.0,86.0,1.0,male,right handed,secondary school,no,city,block of flats
563,5.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,,1.0,1.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,5.0,5.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,5.0,2.0,1.0,5.0,3.0,3.0,1.0,5.0,5.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,3,1.0,1.0,3.0,3.0,tried smoking,social drinker,3.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,1,3.0,3.0,4.0,3.0,5.0,1.0,5.0,5.0,3,3.0,5,i am often early,everytime it suits me,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,5.0,3.0,3.0,3.0,less than an hour a day,3.0,4.0,3.0,4.0,3.0,2,3.0,18.0,170.0,70.0,0.0,male,right handed,currently a primary school pupil,yes,village,house/bungalow
564,5.0,4.0,4.0,1.0,3.0,3.0,1.0,4.0,5.0,2.0,3.0,5.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,5.0,1.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,4.0,4,4.0,4.0,1.0,1.0,tried smoking,never,5.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,5.0,4.0,2.0,1.0,5.0,2.0,4.0,1,5.0,3.0,4.0,1.0,,3.0,1.0,1.0,5,1.0,5,i am always on time,sometimes,4.0,5.0,2.0,5.0,4.0,1.0,3.0,3.0,4.0,1.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,1.0,few hours a day,1.0,5.0,5.0,4.0,5.0,4,5.0,20.0,190.0,85.0,1.0,male,left handed,secondary school,no,village,house/bungalow
565,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,5.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,5,5.0,1.0,2.0,1.0,tried smoking,social drinker,3.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,1,2.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,3,1.0,4,i am always on time,sometimes,1.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,5.0,5.0,1.0,2.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,4.0,1.0,less than an hour a day,4.0,4.0,4.0,5.0,3.0,4,5.0,20.0,180.0,75.0,2.0,male,right handed,college/bachelor degree,no,village,house/bungalow
566,5.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,5.0,5.0,2.0,3.0,,5.0,1.0,5.0,1.0,2.0,5.0,5.0,1.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,3.0,3.0,5.0,4,4.0,3.0,3.0,4.0,former smoker,social drinker,2.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,2,3.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,3,1.0,3,i am always on time,only to avoid hurting someone,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,few hours a day,3.0,4.0,3.0,3.0,3.0,3,3.0,16.0,165.0,49.0,2.0,female,right handed,primary school,no,city,block of flats
